discipline,Female,Male,total,female_pct
['Athletics'],982,1036,2018,48.66204162537166
['Swimming'],386,450,836,46.172248803827756
['Football'],240,313,553,43.399638336347195
['Rowing'],244,249,493,49.49290060851927
['Hockey'],203,212,415,48.91566265060241
['Handball'],202,184,386,52.331606217616574
['Judo'],186,192,378,49.2063492063492
['Shooting'],171,171,342,50.0
['Sailing'],165,165,330,50.0
['Rugby Sevens'],158,159,317,49.8422712933754
['Volleyball'],155,156,311,49.839228295819936
['Wrestling'],96,195,291,32.98969072164948
['Basketball'],143,144,287,49.825783972125436
['Water Polo'],130,156,286,45.45454545454545
['Fencing'],130,130,260,50.0
['Boxing'],124,124,248,50.0
['Equestrian'],93,149,242,38.429752066115704
['Canoe Sprint'],120,119,239,50.2092050209205
['Cycling Track'],110,114,224,49.107142857142854
['Artistic Gymnastics'],94,96,190,49.473684210526315
['Tennis'],87,89,176,49.43181818181818
['Table Tennis'],88,87,175,50.28571428571429
['Badminton'],87,88,175,49.714285714285715
['Cycling Road'],84,90,174,48.275862068965516
['Diving'],68,67,135,50.37037037037037
['Taekwondo'],65,69,134,48.507462686567166
['Archery'],64,64,128,50.0
['Weightlifting'],61,61,122,50.0
['Golf'],60,60,120,50.0
['Triathlon'],54,57,111,48.64864864864865
['Artistic Swimming'],106,0,106,100.0
['Beach Volleyball'],48,48,96,50.0
['Rhythmic Gymnastics'],94,0,94,100.0
['Skateboarding'],44,44,88,50.0
['Canoe Slalom'],41,43,84,48.80952380952381
['Modern Pentathlon'],36,36,72,50.0
['Sport Climbing'],34,34,68,50.0
['Cycling Mountain Bike'],33,35,68,48.529411764705884
['Cycling BMX Racing'],33,34,67,49.25373134328358
['3x3 Basketball'],32,32,64,50.0
['Surfing'],24,24,48,50.0
['Marathon Swimming'],20,18,38,52.63157894736842
['Breaking'],17,16,33,51.515151515151516
['Trampoline Gymnastics'],16,16,32,50.0
['Cycling BMX Freestyle'],12,12,24,50.0
'Swimming'],4,13,17,23.52941176470588
['Marathon Swimming',4,13,17,23.52941176470588
['Cycling Road',10,4,14,71.42857142857143
'Cycling Track'],8,3,11,72.72727272727273
[Athletics],0,2,2,0.0
'Cycling Mountain Bike'],1,1,2,50.0
'Basketball'],1,0,1,100.0
['3x3 Basketball',1,0,1,100.0
'Triathlon'],1,0,1,100.0
[Equestrian],0,1,1,0.0
